id,lat,lon,Name,level
15,71.2989367,-156.7286143,Samuel Simmonds Memorial Hospital,4
1,64.8311569,-147.7399471,Fairbanks Memorial Hospital,4
10,64.4993412,-165.3776787,Norton Sound Regional Hospital,4
3,61.5631603,-149.2576383,Mat-Su Regional Medical Center,4
5,61.2351677,-149.7487198,U. S. Air Force Regional Hospital,4
0,61.1879049,-149.8169137,Providence Alaska Medical Center,2
18,61.1879049,-149.8169137,Providence Alaska Medical Center,2
2,61.1829647,-149.7999673,Alaska Native Medical Center,2
17,61.1829647,-149.7999673,Alaska Native Medical Center,2
13,61.1364781,-146.3458866,Providence Valdez Medical Center,4
9,60.787992,-161.7873721,Yukon-Kuskokwim Delta Regional Hospital,4
8,60.1049748,-149.4463118,Providence Seward Medical Center,4
7,59.6526376,-151.5500626,South Peninsula Hospital,4
14,59.0000942,-158.5355046,Bristol Bay Area Health Corporation,4
4,58.3290164,-134.4649167,Bartlett Regional Hospital,4
11,57.8008837,-152.3756472,Providence Kodiak Island Medical Center,4
16,57.0597195,-135.3466724,Sitka Community Hospital,4
12,57.0519903,-135.3551988,SEARHC MT. Edgecumbe Hospital,4
6,55.3536571,-131.6866346,PeaceHealth Ketchikan Medical Center,4
1178,48.9066198,-103.2994163,St. Luke's Medical Center,5
1159,48.8618027,-99.6157925,Presentation Medical Center,5
930,48.8402122,-95.7599351,LifeCare Medical Center,4
1150,48.8290861,-100.4499025,St. Andrew's Health Center,5
1169,48.7925848,-97.6187283,Pembina County Memorial Hospital and Wedgewood Manor,4
1116,48.7783749,-104.563461,Sheridan Memorial Hospital,5
2007,48.7731147,-122.4727761,PeaceHealth St. Joseph Medical Center,2
1171,48.761828,-98.3660393,Cavalier County Memorial Hospital and Clinics,5
2068,48.7065956,-119.4391826,North Valley Hospital,4
556,48.7022651,-116.3208346,Boundary Community Hospital,4
1156,48.6741906,-102.0844927,Kenmare Community Hospital,5
2058,48.653076,-118.731307,Ferry County Memorial Hospital,5
916,48.5946961,-93.4317001,Rainy Lake Medical Center,4
2042,48.5413951,-117.8935732,Providence Mount Carmel Hospital,4
1092,48.5368489,-109.6854548,Northern Montana Health Care,4
2067,48.526937,-123.0299191,PeaceHealth Peace Island Medical Center,4
1099,48.5102384,-110.9711097,Liberty Medical Center,5
1114,48.509374,-111.8496104,Marias Medical Center,5
2034,48.5020043,-122.6149776,Island Hospital,3
1168,48.4976292,-99.209633,Towner County Medical Center,5
