HospType,ED,Trauma,NSG,FAC_NAME,state,city,PRVDR_NUM,street,zipcode,lat,long,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Short term,TRUE,TRUE,TRUE,SOUTHEAST ALABAMA MEDICAL CENTER,AL,DOTHAN,010001,1108 ROSS CLARK CIRCLE,36301,31.21534,-85.36145,1,"1108 ROSS CLARK CIRCLE, DOTHAN, AL, 36301",Match,Exact,"1108 ROSS CLARK CIR, DOTHAN, AL, 36301",101238843,R,1,69,41000,1047
Short term,TRUE,TRUE,FALSE,MIZELL MEMORIAL HOSPITAL,AL,OPP,010007,702 N MAIN ST,36467,31.291616,-86.25544,5,"702 N MAIN ST, OPP, AL, 36467",Match,Non_Exact,"702 N MAIN ST, OPP, AL, 36467",1854453,R,1,39,962400,3052
Short term,TRUE,FALSE,FALSE,HARTSELLE MEDICAL CENTER,AL,HARTSELLE,010009,201 PINE STREET NORTHWEST,35640,34.445595,-86.93702,7,"201 PINE STREET NORTHWEST, HARTSELLE, AL, 35640",Match,Exact,"201 PINE ST NW, HARTSELLE, AL, 35640",97105507,L,1,103,5303,1008
Short term,TRUE,TRUE,FALSE,FAIRVIEW MEDICAL CTR,AL,MONTGOMERY,010017,2048 W FAIRVIEW AVE,36108,32.35143,-86.326996,13,"2048 W FAIRVIEW AVE, MONTGOMERY, AL, 36108",Match,Exact,"2048 W FAIRVIEW AVE, MONTGOMERY, AL, 36108",1547272,R,1,101,1100,5007
Short term,TRUE,FALSE,FALSE,CALLAHAN EYE HOSPITAL,AL,BIRMINGHAM,010018,1720 UNIVERSITY BLVD,35233,33.50288,-86.80314,14,"1720 UNIVERSITY BLVD, BIRMINGHAM, AL, 35233",Match,Exact,"1720 UNIVERSITY BLVD, BIRMINGHAM, AL, 35233",640314629,L,1,73,4500,1119
Short term,TRUE,FALSE,FALSE,HELEN KELLER MEMORIAL HOSPITAL,AL,SHEFFIELD,010019,1300 SOUTH MONTGOMERY AVENUE,35660,34.74589,-87.698906,15,"1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL, 35660",Match,Exact,"1300 S MONTGOMERY AVE, SHEFFIELD, AL, 35660",40759959,R,1,33,20300,2070
Short term,TRUE,FALSE,FALSE,PIEDMONT HOSPITAL,AL,PIEDMONT,010020,612 CALHOUN STREET P O BOX 330,36272,33.91988,-85.61863,16,"612 CALHOUN STREET P O BOX 330, PIEDMONT, AL, 36272",Match,Exact,"612 CALHOUN ST, PIEDMONT, AL, 36272",66531972,L,1,15,2200,2011
Short term,TRUE,FALSE,FALSE,DALE MEDICAL CENTER,AL,OZARK,010021,126 HOSPITAL AVE,36360,31.451674,-85.63095,17,"126 HOSPITAL AVE, OZARK, AL, 36360",Match,Exact,"126 HOSPITAL AVE, OZARK, AL, 36360",99598621,R,1,45,20500,2023
Short term,TRUE,FALSE,FALSE,CHEROKEE MEDICAL CENTER,AL,CENTRE,010022,400 NORTHWOOD DR,35960,34.16277,-85.64876,18,"400 NORTHWOOD DR, CENTRE, AL, 35960",Match,Exact,"400 NORTHWOOD DR, CENTRE, AL, 35960",30246486,R,1,19,956000,2002
Short term,TRUE,FALSE,FALSE,JACKSON HOSPITAL & CLINIC INC,AL,MONTGOMERY,010024,1725 PINE STREET,36106,32.36656,-86.28514,20,"1725 PINE STREET, MONTGOMERY, AL, 36106",Match,Exact,"1725 PINE ST, MONTGOMERY, AL, 36106",1470663,L,1,101,600,2035
Short term,TRUE,FALSE,FALSE,GEORGE H. LANIER MEMORIAL HOSPITAL,AL,VALLEY,010025,4800 48TH ST,36854,32.825035,-85.170586,21,"4800 48TH ST, VALLEY, AL, 36854",Match,Exact,"4800 48TH ST, VALLEY, AL, 36854",3067404,R,1,17,954600,3024
Short term,TRUE,FALSE,FALSE,COLUMBIA REGIONAL MEDICAL CENTER,AL,ANDALUSIA,010026,200 HILLCREST DR,36420,31.313549,-86.501465,22,"200 HILLCREST DR, ANDALUSIA, AL, 36420",Match,Exact,"200 HILLCREST DR, ANDALUSIA, AL, 36420",1876856,R,1,39,962100,2029
Short term,TRUE,FALSE,FALSE,ELBA GENERAL HOSPITAL,AL,ELBA,010027,987 DRAYTON STREET,36323,31.428955,-86.07626,23,"987 DRAYTON STREET, ELBA, AL, 36323",Match,Non_Exact,"987 DRAYTON AVE, ELBA, AL, 36323",99543745,L,1,31,10500,4013
Short term,TRUE,FALSE,FALSE,GUNTERSVILLE HOSPITAL,AL,GUNTERSVILLE,010028,2067 GUNTER AVE BOX 340,35976,34.337845,-86.31305,24,"2067 GUNTER AVE BOX 340, GUNTERSVILLE, AL, 35976",Match,Exact,"2067 GUNTER AVE, GUNTERSVILLE, AL, 35976",99241849,R,1,95,30701,1045
Short term,TRUE,FALSE,FALSE,EAST ALABAMA MEDICAL CENTER,AL,OPELIKA,010029,2000 PEPPERELL PARKWAY,36801,32.637997,-85.405396,25,"2000 PEPPERELL PARKWAY, OPELIKA, AL, 36801",Match,Exact,"2000 PEPPERELL PKWY, OPELIKA, AL, 36801",1570657,R,1,81,41300,3013
Short term,TRUE,FALSE,FALSE,PHENIX REGIONAL HOSPITAL,AL,PHENIX CITY,010031,1707 21ST AVENUE,36867,32.480556,-85.018036,26,"1707 21ST AVENUE, PHENIX CITY, AL, 36867",Match,Non_Exact,"1707 21ST ST, PHENIX CITY, AL, 36867",69267879,L,1,113,30300,3009
Short term,TRUE,FALSE,FALSE,COMMUNITY HOSPITAL INC,AL,TALLASSEE,010034,805 FRIENDSHIP ROAD,36078,32.535275,-85.912155,29,"805 FRIENDSHIP ROAD, TALLASSEE, AL, 36078",Match,Exact,"805 FRIENDSHIP RD, TALLASSEE, AL, 36078",640315452,R,1,51,30400,1022
Short term,TRUE,FALSE,FALSE,CULLMAN REGIONAL MEDICAL CENTER,AL,CULLMAN,010035,1912 ALABAMA HIGHWAY 157,35058,34.198586,-86.80366,30,"1912 ALABAMA HIGHWAY 157, CULLMAN, AL, 35058",Match,Exact,"1912 AL HIGHWAY 157, CULLMAN, AL, 35058",646916016,R,1,43,964900,1166
Short term,TRUE,FALSE,FALSE,ANDALUSIA REGIONAL HOSPITAL,AL,ANDALUSIA,010036,849 SOUTH THREE NOTCH STREET,36420,31.296692,-86.49677,31,"849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL, 36420",Match,Exact,"849 S THREE NOTCH ST, ANDALUSIA, AL, 36420",1853941,R,1,39,961800,2012
Short term,TRUE,FALSE,FALSE,STRINGFELLOW MEMORIAL HOSPITAL,AL,ANNISTON,010038,301 EAST 18TH ST,36201,33.667706,-85.824974,32,"301 EAST 18TH ST, ANNISTON, AL, 36201",Match,Exact,"301 E 18TH ST, ANNISTON, AL, 36201",624725714,L,1,15,200,1049
Short term,TRUE,FALSE,TRUE,GADSDEN REGIONAL MEDICAL CENTER,AL,GADSDEN,010040,1007 GOODYEAR AVENUE,35903,34.009422,-85.97015,34,"1007 GOODYEAR AVENUE, GADSDEN, AL, 35903",Match,Exact,"1007 GOODYEAR AVE, GADSDEN, AL, 35903",66772490,R,1,55,11200,1014
Short term,TRUE,FALSE,FALSE,CHILTON MEDICAL CENTER,AL,CLANTON,010043,1010 LAY DAM ROAD,35045,32.85296,-86.62302,35,"1010 LAY DAM ROAD, CLANTON, AL, 35045",Match,Exact,"1010 LAY DAM RD, CLANTON, AL, 35045",640315093,R,1,21,60102,3000
Short term,TRUE,FALSE,FALSE,MARION REGIONAL MEDICAL CENTER,AL,HAMILTON,010044,1256 MILITARY STREET SOUTH,35570,34.11524,-87.989456,36,"1256 MILITARY STREET SOUTH, HAMILTON, AL, 35570",Match,Non_Exact,"1256 MILITARY ST, HAMILTON, AL, 35570",130617802,L,1,93,964400,3049
Short term,TRUE,FALSE,FALSE,FAYETTE MEDICAL CENTER,AL,FAYETTE,010045,1653 TEMPLE AVENUE NORTH,35555,33.70683,-87.82433,37,"1653 TEMPLE AVENUE NORTH, FAYETTE, AL, 35555",Match,Exact,"1653 TEMPLE AVE N, FAYETTE, AL, 35555",120505479,L,1,57,20200,1032
Short term,TRUE,TRUE,FALSE,RIVERVIEW REGIONAL MEDICAL CENTER,AL,GADSDEN,010046,600 SOUTH THIRD STREET,35901,34.004974,-86.00397,38,"600 SOUTH THIRD STREET, GADSDEN, AL, 35901",Match,Exact,"600 S 3RD ST, GADSDEN, AL, 35901",66794160,L,1,55,1200,3006
Short term,TRUE,FALSE,FALSE,MEDICAL CENTER ENTERPRISE,AL,ENTERPRISE,010049,400 N EDWARDS STREET,36330,31.318153,-85.85527,40,"400 N EDWARDS STREET, ENTERPRISE, AL, 36330",Match,Exact,"400 N EDWARDS ST, ENTERPRISE, AL, 36330",99549236,R,1,31,10900,1003
Short term,TRUE,FALSE,FALSE,ST VINCENTS BLOUNT,AL,ONEONTA,010050,150 GILBREATH DRIVE,35121,33.93336,-86.49512,41,"150 GILBREATH DRIVE, ONEONTA, AL, 35121",Match,Exact,"150 GILBREATH DR, ONEONTA, AL, 35121",99067836,R,1,9,50101,1032
Short term,TRUE,FALSE,FALSE,LAKE MARTIN COMMUNITY HOSPITAL,AL,DADEVILLE,010052,201 MARIARDEN ROAD,36853,32.81987,-85.74178,42,"201 MARIARDEN ROAD, DADEVILLE, AL, 36853",Match,Exact,"201 MARIARDEN RD, DADEVILLE, AL, 36853",640319274,R,1,123,962400,4030
Short term,TRUE,FALSE,FALSE,ATMORE COMMUNITY HOSPITAL,AL,ATMORE,010053,"401 MEDICAL PARK DR, MED PARK PLAZA",36502,31.017286,-87.47971,43,"401 MEDICAL PARK DR, MED PARK PLAZA, ATMORE, AL, 36502",Match,Exact,"401 MEDICAL PARK DR, ATMORE, AL, 36502",1943967,R,1,53,970700,4010
