HospType,ED,Trauma,NSG,FAC_NAME,state,city,PRVDR_NUM,street,zipcode,query,lon,lat,type,loctype,address,north,south,east,west
Short term,TRUE,FALSE,FALSE,CRENSHAW COMMUNITY HOSPITAL,AL,LUVERNE,010008,101 HOSPITAL CIRCLE,36049,"CRENSHAW COMMUNITY HOSPITAL near LUVERNE, AL 36049",-86.2647235,31.6936146,establishment,rooftop,"101 hospital dr, luverne, al 36049, usa",31.6949635802915,31.6922656197085,-86.26337451970849,-86.26607248029151
Short term,TRUE,FALSE,FALSE,DEKALB REGIONAL MEDICAL CENTER,AL,FORT PAYNE,010012,200 MED CENTER DRIVE,35968,"DEKALB REGIONAL MEDICAL CENTER near FORT PAYNE, AL 35968",-85.7550138,34.4419753,establishment,rooftop,"200 medical center dr sw, fort payne, al 35968, usa",34.4433242802915,34.4406263197085,-85.7536648197085,-85.75636278029151
Short term,TRUE,FALSE,FALSE,HEALTHSOUTH METRO WEST HOSPITAL,AL,FAIRFIELD,010068,701 RICHARD M SCRUSHY PARKWAY,35064,"HEALTHSOUTH METRO WEST HOSPITAL near FAIRFIELD, AL 35064",-86.907349,33.4764709,establishment,rooftop,"6124 myron massey blvd, fairfield, al 35064, usa",33.47781988029149,33.4751219197085,-86.9060000197085,-86.9086979802915
Short term,TRUE,FALSE,FALSE,LAMAR REGIONAL HOSPITAL,AL,VERNON,010080,507 FIFTH STREET SW P O BOX 308,35592,"LAMAR REGIONAL HOSPITAL near VERNON, AL 35592",-88.1142155,33.8271406,doctor,rooftop,"49494 al-17, sulligent, al 35586, usa",33.8284895802915,33.8257916197085,-88.1128665197085,-88.11556448029151
Short term,TRUE,FALSE,FALSE,GROVE HILL MEMORIAL HOSPITAL,AL,GROVE HILL,010091,295 JACKSON HWY S,36451,"GROVE HILL MEMORIAL HOSPITAL near GROVE HILL, AL 36451",-87.7760974,31.6942828,establishment,rooftop,"295 s jackson st, grove hill, al 36451, usa",31.6956317802915,31.6929338197085,-87.7747484197085,-87.77744638029151
Short term,TRUE,FALSE,FALSE,RANDOLPH MEDICAL CENTER,AL,ROANOKE,010098,59928 HIGHWAY 22,36274,"RANDOLPH MEDICAL CENTER near ROANOKE, AL 36274",-85.40305049999999,33.1614108,doctor,rooftop,"59928 al-22, roanoke, al 36274, usa",33.16275978029149,33.1600618197085,-85.40170151970848,-85.4043994802915
Short term,TRUE,FALSE,FALSE,PICKENS COUNTY MEDICAL CENTER,AL,CARROLLTON,010109,241 ROBERT K WILSON DRIVE,35447,"PICKENS COUNTY MEDICAL CENTER near CARROLLTON, AL 35447",-88.089069,33.274677,establishment,rooftop,"241 robert k wilson dr, carrollton, al 35447, usa",33.2760259802915,33.2733280197085,-88.0877200197085,-88.0904179802915
Short term,TRUE,FALSE,FALSE,GUIN HOSPITAL,AL,GUIN,010111,1201 14TH ST BOX 250,35563,"GUIN HOSPITAL near GUIN, AL 35563",-87.918576,33.9681392,doctor,rooftop,"252 13th ave w, guin, al 35563, usa",33.96948818029149,33.9667902197085,-87.9172270197085,-87.91992498029151
Short term,TRUE,FALSE,FALSE,JACKSON MEDICAL CENTER,AL,JACKSON,010128,220 HOSPITAL DRIVE,36545,"JACKSON MEDICAL CENTER near JACKSON, AL 36545",-87.89505299999999,31.5311947,establishment,rooftop,"220 hospital dr, jackson, al 36545, usa",31.5325436802915,31.5298457197085,-87.8937040197085,-87.8964019802915
Short term,TRUE,FALSE,FALSE,D E JACKSON MEMORIAL HOSPITAL,AL,LESTER,010136,111 IVY POINT ROAD DRAWER A,35647,"D E JACKSON MEMORIAL HOSPITAL near LESTER, AL 35647",-87.1535378,34.9902222,establishment,rooftop,"30338 lester rd, lester, al 35647, usa",34.9915711802915,34.9888732197085,-87.1521888197085,-87.1548867802915
Short term,TRUE,TRUE,FALSE,RUSSELLVILLE HOSPITAL,AL,RUSSELLVILLE,010158,15155 HIGHWAY 43,35653,"RUSSELLVILLE HOSPITAL near RUSSELLVILLE, AL 35653",-87.718347,34.5107725,establishment,rooftop,"15155 us-43, russellville, al 35653, usa",34.5121214802915,34.50942351970851,-87.71699801970848,-87.71969598029149
Critical Access,TRUE,FALSE,FALSE,RANDOLPH MEDICAL CENTER,AL,ROANOKE,011303,59928 HIGHWAY 22   P O BOX 670,36274,"RANDOLPH MEDICAL CENTER near ROANOKE, AL 36274",-85.40305049999999,33.1614108,doctor,rooftop,"59928 al-22, roanoke, al 36274, usa",33.16275978029149,33.1600618197085,-85.40170151970848,-85.4043994802915
Short term,TRUE,FALSE,FALSE,NORTON SOUND REGIONAL HOSPITAL,AK,NOME,020005,"PO BOX 966, 5TH AND BERING",99762,"NORTON SOUND REGIONAL HOSPITAL near NOME, AK 99762",-165.3784042,64.4992304,establishment,rooftop,"1000 greg kruschek avenue, nome, ak 99762, usa",64.50057938029151,64.4978814197085,-165.3770552197085,-165.3797531802915
