GEOID,ST,County,StdPop,Deaths,Crude,AgeAdj,pop.subset,geo.level,table.id,table.name
01001,AL,AUTAUGA,382981,75,19.58321692,19.67712862,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01003,AL,BALDWIN,1310307,280,21.36903794,19.80447412,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01005,AL,BARBOUR,191181,42,21.96871028,21.1065446,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01007,AL,BIBB,158945,31,19.50360187,19.33056572,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01009,AL,BLOUNT,402599,118,29.30956113,29.12175017,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01011,AL,BULLOCK,75435,NA,NA,NA,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01013,AL,BUTLER,144433,35,24.23268921,24.14216937,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01015,AL,CALHOUN,821696,136,16.55113327,15.77273452,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01017,AL,CHAMBERS,239504,43,17.95377113,17.48668385,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01019,AL,CHEROKEE,181721,52,28.61529488,28.86470988,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01021,AL,CHILTON,305591,64,20.94302515,20.25054824,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01023,AL,CHOCTAW,95832,38,39.6527256,40.66483443,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01025,AL,CLARKE,179025,40,22.34324815,22.12491335,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01027,AL,CLAY,96299,NA,NA,NA,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01029,AL,CLEBURNE,104746,24,22.91256945,21.34805288,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01031,AL,COFFEE,351356,76,21.63048304,21.10454286,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01033,AL,COLBERT,381275,83,21.76906432,21.86229922,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01035,AL,CONECUH,91596,33,36.02777414,37.68192705,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01037,AL,COOSA,78918,21,26.60989888,23.81174742,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01039,AL,COVINGTON,264580,54,20.40970595,18.78470793,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01041,AL,CRENSHAW,97675,22,22.52367545,22.16167898,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01043,AL,CULLMAN,563918,177,31.38754216,30.1677452,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01045,AL,DALE,349700,56,16.01372605,16.42497478,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01047,AL,DALLAS,301721,76,25.18883339,25.71867498,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01049,AL,DE KALB,496451,124,24.9772888,24.7602016,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01051,AL,ELMORE,557793,94,16.85212973,16.52031165,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01053,AL,ESCAMBIA,266393,51,19.14464719,18.31062324,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01055,AL,ETOWAH,729002,168,23.04520427,22.10745195,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01057,AL,FAYETTE,119939,45,37.5190722,35.35912764,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01059,AL,FRANKLIN,221312,69,31.17770388,30.03404238,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01061,AL,GENEVA,187374,49,26.15090674,24.52724153,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01063,AL,GREENE,62586,NA,NA,NA,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01065,AL,HALE,109285,33,30.19627579,32.85794035,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01067,AL,HENRY,120739,38,31.47284639,29.42776613,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01069,AL,HOUSTON,714840,133,18.60556208,17.68728108,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01071,AL,JACKSON,372114,130,34.93553051,34.45505604,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01073,AL,JEFFERSON,4609287,940,20.39360968,19.63929374,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01075,AL,LAMAR,100891,26,25.77038586,22.30669888,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01077,AL,LAUDERDALE,648610,125,19.27198162,18.00190527,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01079,AL,LAWRENCE,237718,68,28.60532227,27.34145644,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01081,AL,LEE,1011486,151,14.92853089,16.70387058,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01083,AL,LIMESTONE,595597,109,18.30096525,18.57058239,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01085,AL,LOWNDES,77903,NA,NA,NA,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01087,AL,MACON,145220,25,17.21525961,16.55284593,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01089,AL,MADISON,2369101,409,17.26393261,16.91928365,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01091,AL,MARENGO,145020,41,28.27196249,28.13326671,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01093,AL,MARION,214163,58,27.08217573,24.72512243,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01095,AL,MARSHALL,653739,154,23.55680172,22.89233557,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01097,AL,MOBILE,2890974,528,18.26374087,17.99225365,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01099,AL,MONROE,159220,41,25.75053385,25.83114817,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01101,AL,MONTGOMERY,1598888,234,14.63517144,14.35316066,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01103,AL,MORGAN,835300,206,24.66179816,23.82163691,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01105,AL,PERRY,72481,NA,NA,NA,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01107,AL,PICKENS,137951,35,25.3713275,23.52951028,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01109,AL,PIKE,230729,45,19.50340009,19.35392014,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01111,AL,RANDOLPH,159416,42,26.3461635,25.2723549,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01113,AL,RUSSELL,388162,119,30.65730288,30.70260575,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01115,AL,ST CLAIR,590236,159,26.93837719,26.71515319,Overall,county,m8976144 created 07DEC16:14:05     downloaded 06FEB20:13:36,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
