GEOID,ST,County,StdPop,Deaths,Crude,AgeAdj,pop.subset,geo.level,table.id,table.name
01001,AL,AUTAUGA,382981,39,10.1832728,9.877949869,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01003,AL,BALDWIN,1310307,155,11.82928886,11.34868807,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01005,AL,BARBOUR,191181,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01007,AL,BIBB,158945,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01009,AL,BLOUNT,402599,45,11.17737501,11.04030326,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01011,AL,BULLOCK,75435,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01013,AL,BUTLER,144433,22,15.23197607,14.96424374,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01015,AL,CALHOUN,821696,69,8.397266142,8.042682528,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01017,AL,CHAMBERS,239504,23,9.603179905,9.814332749,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01019,AL,CHEROKEE,181721,21,11.55617678,9.950640613,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01021,AL,CHILTON,305591,30,9.817043041,9.397259928,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01023,AL,CHOCTAW,95832,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01025,AL,CLARKE,179025,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01027,AL,CLAY,96299,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01029,AL,CLEBURNE,104746,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01031,AL,COFFEE,351356,41,11.66907638,11.63179143,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01033,AL,COLBERT,381275,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01035,AL,CONECUH,91596,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01037,AL,COOSA,78918,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
01039,AL,COVINGTON,264580,NA,NA,NA,firearm,county,m6453951 created 06FEB20:22:36     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
