GEOID,ST,County,StdPop,Deaths,Crude,AgeAdj,pop.subset,geo.level,table.id,table.name
01001,AL,AUTAUGA,382981,36,9.399944123,9.799178751,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01003,AL,BALDWIN,1310307,121,9.234477111,8.162467251,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01005,AL,BARBOUR,191181,29,15.16887138,14.65121117,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01007,AL,BIBB,158945,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01009,AL,BLOUNT,402599,68,16.89025556,17.03169274,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01011,AL,BULLOCK,75435,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01013,AL,BUTLER,144433,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01015,AL,CALHOUN,821696,62,7.545369577,7.115139471,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01017,AL,CHAMBERS,239504,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01019,AL,CHEROKEE,181721,33,18.15970636,19.84957784,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01021,AL,CHILTON,305591,31,10.14427781,9.817546292,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01023,AL,CHOCTAW,95832,29,30.26129059,31.44838116,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01025,AL,CLARKE,179025,24,13.40594889,12.86956266,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01027,AL,CLAY,96299,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01029,AL,CLEBURNE,104746,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01031,AL,COFFEE,351356,35,9.961406664,9.612360276,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01033,AL,COLBERT,381275,60,15.73667301,15.50677735,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01035,AL,CONECUH,91596,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01037,AL,COOSA,78918,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01039,AL,COVINGTON,264580,39,14.74034319,13.94574538,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01041,AL,CRENSHAW,97675,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01043,AL,CULLMAN,563918,113,20.03837437,19.55589355,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01045,AL,DALE,349700,27,7.720903632,7.4982987,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01047,AL,DALLAS,301721,52,17.23446495,17.53602232,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01049,AL,DE KALB,496451,72,14.50294188,14.64353983,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01051,AL,ELMORE,557793,43,7.708952963,7.727084922,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01053,AL,ESCAMBIA,266393,27,10.13540146,9.712248626,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01055,AL,ETOWAH,729002,85,11.65977597,10.78556805,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01057,AL,FAYETTE,119939,26,21.67768616,18.63370316,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01059,AL,FRANKLIN,221312,45,20.33328514,19.55854145,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01061,AL,GENEVA,187374,28,14.94337528,13.68888455,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01063,AL,GREENE,62586,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01065,AL,HALE,109285,23,21.04588919,22.20556788,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01067,AL,HENRY,120739,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01069,AL,HOUSTON,714840,71,9.932292541,9.506293654,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01071,AL,JACKSON,372114,84,22.57372741,22.71954339,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01073,AL,JEFFERSON,4609287,381,8.265920521,7.790935389,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01075,AL,LAMAR,100891,NA,NA,NA,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01077,AL,LAUDERDALE,648610,74,11.40901312,10.51956687,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
01079,AL,LAWRENCE,237718,45,18.92999268,18.58399366,unintentional,county,m3378873 created 11MAY17:12:34     downloaded 06FEB20:22:27,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
