ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,4780797,1906,39.86782957,41.35980586,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
AK,414707,169,40.75166322,45.017323,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
AZ,6557484,3298,50.29367971,52.16553855,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
AR,3033171,1388,45.76069071,46.99672142,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
CA,31278796,11786,37.68047849,37.18643063,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
CO,4114850,2292,55.70069383,57.45514488,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
CT,3647919,1551,42.51739142,39.63955238,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
DE,955192,324,33.91988208,35.39824469,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
DC,493116,168,34.06906286,33.82415445,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
FL,23915327,10481,43.82545135,43.10489865,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
