ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,33558432,6925,20.63564829,20.04965577,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AK,5024225,1212,24.12312347,25.00305658,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AZ,45411117,9488,20.89356225,20.2299006,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AR,20500179,4873,23.77052415,23.25908238,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CA,263818096,32077,12.15875654,12.00846613,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CO,35830443,7206,20.11138964,20.25288714,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CT,25062400,3223,12.85990169,11.47826883,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DE,6359102,885,13.91705936,13.28512594,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DC,4337658,580,13.37127086,12.71688048,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
FL,133938024,26199,19.56053943,17.19573878,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
GA,68637645,12746,18.56998445,19.14497904,Overall,state,m2106188 created 08DEC16:09:28     downloaded 06FEB20:13:42,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
