ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,33558432,920,2.741486849,2.549154965,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AK,5024225,137,2.726788709,3.697241957,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AZ,45411117,2365,5.207975836,4.800697461,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AR,20500179,833,4.063379154,3.636699997,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CA,263818096,9393,3.560407774,3.592173906,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CO,35830443,1936,5.403226524,5.800929561,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CT,25062400,1290,5.147152707,4.159389033,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DE,6359102,252,3.962823682,3.509342127,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DC,4337658,160,3.688626443,3.850038963,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
FL,133938024,7775,5.804923626,4.191608462,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
GA,68637645,2524,3.677282343,4.274509948,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
HI,9638796,619,6.421963905,5.186554028,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ID,11083018,521,4.700885625,4.63647426,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IL,89878068,3729,4.148954337,3.869922193,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IN,45589693,1595,3.498597808,3.235228258,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IA,21436265,1424,6.642948293,5.156053621,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
KS,20049651,1133,5.650971181,4.98767476,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
KY,30512862,1244,4.076969247,3.832345546,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
LA,31920282,973,3.048218684,3.043021981,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ME,9303773,577,6.201785018,4.722446389,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MD,40839701,1995,4.884952512,4.708105488,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MA,46256590,2381,5.147374677,4.26074953,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MI,69300707,3180,4.588697775,3.96080748,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MN,37440030,2105,5.622324555,4.954985097,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MS,20824763,938,4.504252942,4.394045371,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MO,42018262,1984,4.721756459,4.115081259,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MT,6991079,390,5.57853802,4.647594532,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NE,12883593,727,5.642835815,4.86070332,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NV,19143270,737,3.849916968,4.213546633,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NH,9237313,472,5.109711017,4.421204377,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NJ,61826877,2120,3.428929461,2.977983195,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,717,4.964648174,4.704865928,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,5818,4.263258139,3.741317706,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,2952,4.374171749,4.213939126,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,293,6.046954914,5.015045385,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,4588,5.675224492,4.812215814,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,1347,5.088269578,4.748601739,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,1473,5.440833667,4.648256655,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
PA,89064065,5643,6.335888666,4.77841492,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
RI,7374400,484,6.563245823,5.014425864,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SC,32744318,1281,3.912129121,3.707753283,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SD,5777731,379,6.559668493,5.329353468,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TN,44799722,1942,4.334848328,4.094711487,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TX,179470855,5765,3.212220725,3.753839213,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
UT,19666542,827,4.205111402,5.453558922,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VT,4380714,341,7.78411921,6.300777394,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VA,56660701,2310,4.07689979,4.083168669,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WA,47707906,2905,6.089137511,5.817164789,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WV,12956295,708,5.464525159,4.365262176,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WI,39931436,2784,6.971950621,5.866820638,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WY,3981420,218,5.475433388,5.477144138,fall,state,m7228039 created 11MAY17:12:33     downloaded 06FEB20:22:35,"Traumatic Brain Injury, Fall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
