ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,17282079,1822,10.54271306,9.805182053,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
AK,2403542,261,10.85897396,11.52025599,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
AZ,22841514,2411,10.55534235,9.606613187,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
AR,10434308,1274,12.20972201,11.36978204,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
CA,132717719,8089,6.094890766,5.620842119,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
CO,17856883,1860,10.41615158,9.924009787,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
CT,12854967,923,7.180104002,5.469661116,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
DE,3280109,233,7.103422478,6.145315637,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
DC,2284719,132,5.777515747,5.484745757,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
FL,68463695,6981,10.1966451,8.352129916,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
GA,35105937,3448,9.821700529,9.751161628,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
HI,4793119,400,8.345296664,6.492649085,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
ID,5531359,664,12.00428322,11.40437851,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
IL,45787096,2912,6.359870475,5.534683323,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
IN,23150966,1922,8.302029384,7.520685036,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
IA,10812789,1112,10.28411819,8.098793331,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
KS,10086214,1107,10.97537689,9.670612683,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
KY,15501737,1731,11.16649057,10.44305923,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
LA,16310375,1594,9.77292061,9.434343956,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
ME,4750049,524,11.03146515,8.812992243,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MD,21070343,1458,6.919678526,6.084668362,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MA,23862308,1788,7.492988524,5.816853014,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MI,35287937,2731,7.739188607,6.655910801,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MN,18849521,1413,7.496211707,6.195102151,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MS,10707913,1556,14.5313097,13.80006307,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MO,21430613,2429,11.33425348,10.0964528,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
MT,3481241,535,15.36808282,14.02061408,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
NE,6483697,697,10.75003968,9.22128538,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
NV,9489564,829,8.735912419,8.659502019,females,state,m2518907 created 06FEB20:13:48     downloaded 06FEB20:13:48,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Females, All Ages"
