ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,33558432,3181,9.478988768,9.220960874,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AK,5024225,703,13.99220775,13.90902851,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AZ,45411117,4621,10.17592234,9.976611247,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AR,20500179,2077,10.13161885,10.04962524,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CA,263818096,12362,4.685804419,4.584197866,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CO,35830443,3147,8.783034025,8.587867715,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CT,25062400,817,3.259863381,3.145965356,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DE,6359102,361,5.676902179,5.510698193,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DC,4337658,224,5.16407702,4.41253031,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
FL,133938024,10924,8.156011022,7.515453882,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
GA,68637645,5475,7.976672277,7.945473975,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
HI,9638796,247,2.562560718,2.454004311,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ID,11083018,1144,10.32209819,10.39559405,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IL,89878068,3798,4.225725012,4.116999525,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IN,45589693,3228,7.08054779,7.006352993,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IA,21436265,1160,5.411390464,5.275027541,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
KS,20049651,1570,7.830560243,7.750713443,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
KY,30512862,2793,9.153516966,8.912499865,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
LA,31920282,3168,9.924724349,9.805428892,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ME,9303773,694,7.459339345,6.904175062,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MD,40839701,2023,4.953513249,4.83959164,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MA,46256590,1056,2.282917958,2.169569501,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MI,69300707,4418,6.375115336,6.230371239,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MN,37440030,1926,5.144226647,5.008599581,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MS,20824763,2161,10.37706888,10.39385034,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MO,42018262,3871,9.212660914,9.026134933,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MT,6991079,918,13.13102026,12.69739836,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NE,12883593,762,5.914499162,5.879258404,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NV,19143270,1981,10.34828428,10.1205755,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NH,9237313,603,6.527872337,6.072795609,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NJ,61826877,1716,2.77549196,2.713898081,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,1522,10.53862555,10.36427487,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,4043,2.962590694,2.826597807,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,5032,7.456243983,7.251307152,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,378,7.801190982,7.556666889,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,5419,6.703147673,6.546646639,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,2790,10.53917752,10.45451572,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,2500,9.234273027,8.685670982,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
PA,89064065,6078,6.824301136,6.512747256,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
RI,7374400,218,2.956172706,2.832879242,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SC,32744318,3108,9.491723114,9.169257379,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
SD,5777731,409,7.078903466,7.053858868,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TN,44799722,4201,9.377290332,9.077282907,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
TX,179470855,12132,6.759871958,6.873303878,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
UT,19666542,1663,8.455985806,9.173566479,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VT,4380714,377,8.605903056,7.959411537,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
VA,56660701,4196,7.405485506,7.183139544,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WA,47707906,3394,7.114124858,6.879999199,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WV,12956295,1318,10.17266124,9.798121909,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WI,39931436,2397,6.002789381,5.838561878,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
WY,3981420,527,13.23648347,13.02421149,firearm,state,m6384422 created 11MAY17:12:40     downloaded 06FEB20:22:37,"Traumatic Brain Injury, Firearm, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
