ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,16276353,5103,31.35223228,31.66372706,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
AK,2620683,951,36.28825005,37.63181737,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
AZ,22569603,7077,31.35633356,31.49675596,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
AR,10065871,3599,35.75448165,36.08971795,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
CA,131100377,23988,18.29743022,19.14980535,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
CO,17973560,5346,29.74369018,31.49049528,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
CT,12207433,2300,18.84097992,18.54343515,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
DE,3078993,652,21.17575454,21.45726415,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
DC,2052939,448,21.82237271,21.69442074,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
FL,65474329,19218,29.35196174,26.9378494,males,state,m4328936 created 06FEB20:13:15     downloaded 06FEB20:13:45,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Males, All Ages"
