ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,33558432,2564,7.640404653,7.338970452,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
AK,5024225,615,12.24069384,12.25808636,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
AZ,45411117,3945,8.687300072,8.452108743,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
AR,20500179,1665,8.121880302,7.990862335,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
CA,263818096,9860,3.737423683,3.665889292,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
CO,35830443,2870,8.009948412,7.819260172,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
CT,25062400,682,2.721207865,2.566254145,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
DE,6359102,281,4.418862915,4.245268994,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
DC,4337658,60,1.383234916,1.294403639,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
FL,133938024,9244,6.90169955,6.192373074,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
GA,68637645,4224,6.154057296,6.139613638,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
HI,9638796,241,2.50031228,2.370004712,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
ID,11083018,1082,9.762683774,9.834797328,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
IL,89878068,2827,3.145372462,3.034337896,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
IN,45589693,2586,5.672334753,5.555774872,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
IA,21436265,1078,5.028861138,4.885721231,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
KS,20049651,1357,6.768197611,6.664152164,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
KY,30512862,2378,7.793434782,7.529412243,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
LA,31920282,2211,6.926630535,6.813590299,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
ME,9303773,649,6.975664604,6.401126954,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MD,40839701,1486,3.638616257,3.500209192,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MA,46256590,859,1.857032695,1.743382599,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MI,69300707,3613,5.213511025,5.029917185,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MN,37440030,1784,4.764953447,4.624912138,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MS,20824763,1540,7.395042143,7.377662658,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MO,42018262,2980,7.092154359,6.832744205,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
MT,6991079,869,12.43012702,11.89132492,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NE,12883593,651,5.05293826,4.998056992,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NV,19143270,1774,9.266964317,9.01800879,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NH,9237313,567,6.138148615,5.683402365,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NJ,61826877,1189,1.923111853,1.807314263,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,1322,9.153786451,8.924774732,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,3426,2.510471362,2.364559655,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,4029,5.970033189,5.754851182,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,357,7.367791483,7.152797382,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,4431,5.481019992,5.262572978,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,2350,8.87708501,8.764211482,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,2331,8.61003617,8.077262044,suicide,state,m8496524 created 14MAR17:21:20     downloaded 06FEB20:22:31,"Traumatic Brain Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages"
