ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,33558432,1907,5.682625458,5.685912167,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AK,5024225,254,5.055506073,4.961291967,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AZ,45411117,1757,3.869096636,3.829421861,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
AR,20500179,1534,7.482861491,7.557996776,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CA,263818096,6702,2.540386767,2.47851835,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CO,35830443,1461,4.077538198,4.033020408,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
CT,25062400,631,2.517715781,2.500525042,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DE,6359102,184,2.893490307,2.936538708,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
DC,4337658,86,1.982636713,1.934060576,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
FL,133938024,5545,4.139974471,4.133965713,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
GA,68637645,3599,5.243478269,5.213587897,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
HI,9638796,298,3.091672445,3.01673582,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ID,11083018,751,6.776132638,6.813950639,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IL,89878068,2450,2.725915292,2.689217752,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IN,45589693,1858,4.075482588,4.061043733,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
IA,21436265,968,4.515712042,4.480373012,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
KS,20049651,1013,5.052457023,5.051050548,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
KY,30512862,1839,6.026966595,6.059269315,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
LA,31920282,1654,5.181658483,5.145161999,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
ME,9303773,509,5.470898742,5.37211339,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MD,40839701,735,1.799719347,1.767747547,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MA,46256590,1528,3.303313106,3.14008703,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MI,69300707,1816,2.620463886,2.586166791,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MN,37440030,893,2.385147661,2.326048605,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MS,20824763,1968,9.450287622,9.439001725,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MO,42018262,2802,6.668529031,6.608757656,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
MT,6991079,731,10.4561828,10.4717074,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
NE,12883593,815,6.325875088,6.250411466,transportation,state,m8177371 created 09MAY17:16:31     downloaded 06FEB20:22:34,"Traumatic Brain Injury, Transportation-Related, Overall, All Intents, All Races, All Ethnicities, Both Sexes, All Ages"
