ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
AL,33558432,3555,10.59346277,10.28140108,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
AK,5024225,451,8.976508815,9.945249017,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
AZ,45411117,4394,9.676044745,9.209350897,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
AR,20500179,2634,12.8486683,12.42263934,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
CA,263818096,17676,6.700071097,6.663113345,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
CO,35830443,3707,10.34595079,10.69037027,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
CT,25062400,2267,9.045422625,7.776725437,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
DE,6359102,480,7.548235584,7.048873679,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
DC,4337658,277,6.38593453,6.595620114,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
FL,133938024,14286,10.66612719,8.945000176,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
GA,68637645,6748,9.831339639,10.4474857,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
HI,9638796,991,10.28136709,8.922555358,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
ID,11083018,1378,12.43343645,12.3786032,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
IL,89878068,6665,7.415602213,7.074259637,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
IN,45589693,3954,8.6730129989999991,8.345505655,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
IA,21436265,2596,12.11031866,10.50604615,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
KS,20049651,2366,11.80070416,11.10282387,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
KY,30512862,3517,11.52628685,11.29349298,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
LA,31920282,3075,9.63337354,9.587714311,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
ME,9303773,1187,12.75826485,10.99417468,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MD,40839701,2947,7.216017571,6.974975284,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MA,46256590,4176,9.027902835,7.91471164,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MI,69300707,5597,8.076396681,7.32732944,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MN,37440030,3306,8.83012113,8.040187695,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MS,20824763,3242,15.5680043,15.41373031,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MO,42018262,5218,12.41840988,11.69026772,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
MT,6991079,1243,17.77980194,16.78754249,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NE,12883593,1693,13.1407442,12.16382386,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NV,19143270,1306,6.822240923,7.15804902,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NH,9237313,960,10.39263258,9.536407559,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NJ,61826877,3981,6.438947256,5.902525537,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NM,14442111,1427,9.880826979,9.686637087,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NY,136468396,10481,7.680166476,7.004617398,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
NC,67487062,7638,11.31772487,11.07876978,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
ND,4845414,804,16.59300939,15.43974965,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
OH,80842617,9121,11.28241556,10.32446686,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
OK,26472654,2904,10.96981058,10.612427,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
OR,27073057,2939,10.85581137,9.906779984,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
PA,89064065,9947,11.16836515,9.429403759,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
RI,7374400,729,9.885550011,8.10125819,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
SC,32744318,4615,14.09404832,13.82337613,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
SD,5777731,832,14.40011659,12.97368525,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
TN,44799722,4651,10.38176085,10.03911084,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
TX,179470855,14264,7.947808573,8.52017129,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
UT,19666542,2100,10.67803379,12.27810674,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
VT,4380714,690,15.75085705,13.85848775,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
VA,56660701,6166,10.88232212,10.75833756,unintentional,state,m4021328 created 11MAY17:12:34     downloaded 06FEB20:22:28,"Traumatic Brain Injury, Unintentional, All Races, All Ethnicities, Both Sexes, All Ages"
